,Description,Job Title,Position Level,Qualifications,Aprobado
48,"GENERAL SUMMARY
Plans, designs, develops and performs maintenance of new and existing software for electronically transacted businesses.",Associate Developer,Analista,"KNOWLEDGE, SKILLS, AND ABILITIES REQUIRED 
- A minimum of 3 years of mid‐level software development experience is required with a focus in e‐Commerce.
- Must have knowledge of various e-Commerce platforms such as Magento and OS Commerce.
- PHP‐based web applications development experience is essential along with deep knowledge of e‐Commerce security standards and experience with third party fraud verification services.
- Deep understanding of web technologies, such as HTTP, JavaScript, AJAX, HTML, DHTML, CSS.
- Solid knowledge of SQL and understanding of relational databases.
- Experience building Software‐as‐a‐Service (SaaS) applications.
- Experience with High Performance PHP Framework for web development 
- Experiencia desarrollando un producto o proyecto",D
49,"- Elaborar los planos de: pieza, modelo y mecanizado solo que su jefe directo o el
Gerente General le indique.
- Elaborar el esquema de diseño de colada: medida de ataque, canales y bajada.
- Levantar medidas de piezas ya sea en planta o en las instalaciones de un cliente
y dibujarlas.
- Tomar pesos de todas las piezas que salen de la fabrica asi como tomar
fotografías y archivarlas.
- Imprimir y archivar de acuerdo al método de las referencias cada uno de los
planos, esquemas, dibujos, etc que haga.
- Cumplir con las tareas asignadas en los tiempos que su Jefe le indique y dentro
de los horarios de trabajo establecidos.
- Recepción de modelos: comparación de medidas ( planos versus real).
- Revisión e inspección visual de todas las piezas fundidas, de detectar una falla
comunicar al Jefe inmediato para corregir modelo.
- Levantar medidas de las piezas que salen de fundición y corregir planos de
modelos de ser el caso.",Dibujante Tecnico,Asistente,"Manejo del Solid Works y Autocad- nivel avanzado
Conocimiento en informática a nivel intermedio ( Internet y
ERP o SAP).",A
50,"Apoyo en la gestión de reportes de toda la gestión operacional de OPA.
Apoyo en los procesos de rendimiento operativo de las unidades de generación.
Apoyo en los procesos del Plan de Mantenimiento y la planificación de la eficiencia de las centrales del país.
Apoyo en proceso de gestión de control con SIE y otros sistemas de presupuestos (OPEX, CAPEX, indisponibilidad).
Apoyo en la elaboración u actualización de procedimientos e instructivos relacionados a la gestión de OPA y OPO.",Practicante de Planificación y Análisis,Practicante,,D
51,"Efectuar el seguimiento al plan de control del producto con un estricto seguimiento a los KPI involucrados y proponiendo medidas de corrección.
Seguimiento y análisis de los informes de la sala de control y recomendación de acciones correctivas.
Control del programa de abastecimiento PA para los tanques con Telemetría, seguimiento a las desviaciones de inyectos y reportes periódicos al área comercial y de distribución.
Auditorías a las instalaciones con desviaciones en el stock respecto a SAP, coordinación de inspecciones, análisis de resultados y planeamiento de soluciones a fin de mantener desviaciones menores a 30%.
Seguimiento y control de proyectos de optimización de control de producto, coordinación con el área de TI.
Seguimiento a desviaciones de medidores masivos y su programa de calibración, así como elaboración de estudios técnicos para minimizar reclamos con clientes.",Analista de control de producto,Supervisor,"Mínimo 5 años de experiencia en procesos de plantas industriales.
Excel nivel avanzado.
SAP (deseable).
Análisis y diseño de procesos, elaboración de procedimientos en plantas industriales.
Conocimiento y manejo de inventarios de combustibles GLP.
Conocimiento del mantenimiento y operación de los equipos de plantas químicas.",A
52,"Apoyo en la elaboración de informes de indicadores para mejorar la calidad de los servicios fijos. 
Apoyo en el control de la base de datos para compartir con operaciones regionales.
Apoyo en la elaboración de presentaciones quincenales para la revisión del avance de las mejoras tecnológicas presentadas.",Practicante Pre Profesional de Ingeniería y Base de Datos,Practicante,"Estudiantes a partir de 8° ciclo de las carreras de Ingeniería de Sistemas, Ingeniería Informática, Electrónica y afines.

Conocimiento de Excel a nivel intermedio.
Deseable con conocimientos en manejo de base de datos.Deseable con conocimiento en lenguaje de programación.",A
53,"Implementar soluciones innovadoras basándose en los requerimientos canalizados por los Key Users.
Realizar tareas de análisis, relevamiento y diseño de los procesos involucrados en los requerimientos de los Key Users.
Proponer mejoras de los sistemas, basándose en la evolución de las aplicaciones, procesos y nuevas tecnologías.
Gestionar los proyectos, requerimientos, problemas e incidentes asignados.
Garantizar el cumplimiento de políticas y procedimientos según corresponda.",Analista Funcional SAP,Analista,"Mínimo 4 años de experiencia.
Conocimientos en SAP – Módulos: CO, FM.
Manejo del Excel y Power Point a nivel avanzado.",D
54,"El cargo  reporta al Jefe de División de Ingeniería, siendo responsable de supervisar y canalizar los trabajos del personal técnico; propio, contratado o de contrata en la ejecución de los proyectos y de la implementación de una cultura de ingeniería para el desarrollo de proyectos de la empresa, estableciendo el criterio de diseño, coordinando con el equipo de construcción el desarrollo de la ingeniería con cada parte implicada en el proyecto.",Supervisor de Ingeniería Mecánica - Sector Minería,Supervisor,"Conocimientos Específicos: Deseable con conocimientos de Sistemas Integrados de Gestión, MS- Office, MS Proyect a nivel intermedio. 

Tiempo  y tipo de experiencia laboral total: Experiencia en posiciones similares  en la industria minera ó cementera, de preferencia con conocimientos de: PMBOK (Project Management Body of Knowledge).

Idioma Inglés: Intermedio.",D
55,"•	RESPONSABLE de la ejecución de COMPONENTES o SUBCOMPONENTES de los proyectos, estas responsabilidades serán designadas FORMALMENTE por el Jefe de Proyecto.
•	RESPONSABLE de enmarcar la ejecución del proyecto en base a la metodología PMI.
•	RESPONSABLE de llevar un control de las actividades de CUMPLIMIENTO DE LA NORMATIVIDAD DE SEGURIDAD Y SALUD OCUPACIONAL durante el tiempo de ejecución del proyecto.
•	Participación y asistencia técnica para la elaboración de Perfiles de Inversión Pública, previa solicitud de la Unidad de Estudios y Consultorías.
•	Participación y asistencia en las etapas que demanden los proyectos: reuniones de coordinación, valorizaciones, cobranza, informes, documentación, cierre de proyecto y liquidación.
•	Participación y asistencia técnica para la elaboración de Perfiles de Inversión y/o Expedientes Técnicos, previa solicitud de la Unidad de Estudios y Consultorías.
•	Participación y asistencia técnica para la elaboración Diseños y Presupuestos que NO REQUIERA de Perfiles o Expedientes Técnicos, previa solicitud de la Unidad de Diseño y Presupuesto.
•	Coordinar y monitorear el proceso de POSTVENTA de los proyectos que haya sido parte del EQUIPO TÉCNICO.
•	Elaborar reportes de avance de Actividades/Proyectos cada último día de semana.
•	Cumplir el plan de certificación que es parte del Plan de Formación de la Gerencia de Ingeniería.
•	Asumir por encargo del Jefe de Proyecto la responsabilidad de liderar el proyecto, cuando éste se lo solicite o se requiera.
. REMUNERACIÓN 3000 NUEVOS SOLES",INGENIERO DE IMPLEMENTACIÓN DE PROYECTO – ESPECIALISTA EN REDES OPTICAS,Profesional especializado,"•	Deseable: Colegiado
•       Deseable: Conocimientos de Comunicaciones Ópticas y/o Inalámbricas
•	Sólidos conocimientos en Redes IP, DWDM, GPON, ADSS.
•	Experiencia en la Implementación de Proyectos de Redes Ópticas.
•	Sólidos conocimientos en Redes IP
•	Deseable: Certificación CCNA
•	Conocimiento de la metodología PMI.
•       Manejo del idioma Inglés.
•       IMPORTANTE: Disponibilidad para viajar a provincias para la ejecución de los proyectos.
. Conocimientos en Microsoft Office, Microsoft Project, Autocad.
. Deseable que cuente con licencia de Conducir.

HABILIDADES: Pro Actividad
Capacidad de toma de decisiones
Responsabilidad y confianza
Capacidad de comunicación
Capacidad de trabajo en equipo
Orientado a los resultados
Capacidad para resolver problemas
Autonomía
Tolerancia al trabajo bajo presión.",A
56,"Brindar servicios de asesoría técnica en la realización del proceso de adquisición para la compra de un banco de ensayo de eficiencia para calentadores de agua eléctricos de acumulación (tipo tanque), el cual debe cumplir con las Normas Técnicas Peruanas (NTP) e internacionales.",Especialista en Calentadores de Agua Eléctrico,Consultor / Asesor,"Un curso de capacitación, diplomado o certificación en la norma ISO/IEC 17025, y/o en evaluación de la conformidad y acreditación de laboratorios de ensayo según norma ISO/IEC 17025 y/o en ensayos de seguridad o de eficiencia energética o normalización de equipos consumidores de energía térmica o eléctrica. 

Cinco (05) años de experiencia general en temas relacionados a energía, eficiencia energética, medio ambiente y/o gestión ambiental. 
Al menos dos años de experiencia en gestión de la calidad ISO o normalización en eficiencia energética o en ensayos de laboratorio de equipos energéticos consumidores de energía térmica o eléctrica.
Deseable experiencia en el manejo de equipos calentadores de agua eléctricos o gas con pruebas de seguridad, aislamiento u otros.
Mínimo idioma inglés a nivel técnico.",A
57,"Desarrolla las mismas funciones que el Gestor y además:
Soporte de averías criticas
Control y seguimiento de  Trabajos programados
Análisis y troubleshooting avanzado
Responsable de gestión integral de las averías masivas
Primer escalado del servicio
Interlocutor con otras áreas y/o empresas colaboradoras.
Responsable de optimizar la gestión y uso de los recursos",Ing. Electronico,Profesional especializado,,A
58,"Cálculo de Estructuras Metálicas, Aluminio, Cobre, otros.
Diseño a Nivel de Detalle de las Estructuras.
Presupuestos.
Otros (Accesorios Eléctricos, Torres Modulares y Auto. Soportadas para MT y AT.",Ingeniero de Estructuras Metálicas,Profesional especializado,"Manejo de Autocad (Indispensable).
Manejo de Solidworks (Deseable).
1 Año de experiencia en puestos similares.
Se dará capacitación sobre nuestros productos.
Sueldo de acuerdo a experiencia y evaluación.
Empresa Industrial Acogida al Regimen MYPE.",A
59,"- Diseño de redes de Fibra óptica.
- Supervisión de instalación de redes de fibra óptica.
- Operación y mantenimiento de redes de fibra óptica.",Especialista en Redes,Operativo,"Deseable:
Experencia en el sector telecomunicaciones.",D
60,"•	Deliver end user PC and desktop support, including, printer assistance, configuration and all corporate software and first level network assistance.
1 Maintain an accurate IT equipment inventory. (Printers, IP telephones, mobile devices, laptops, desktops)
2 Ensure compliance with Software licensing and other IT contracts.
3 Provide support for mobile phones/communication devices assigned to employees.
4 Classify and assign IT tickets within IT organization.
5 PC Desktop and laptops software / hardware support.
6 Understanding of IT architecture.
7 Fluent in both written and spoken English and Spanish.
8 Networking Support.
9 Must know how to physically deploy computers based on available facilities.
10 Ability to manage and prioritize IT tasks and initiatives.
11 Excellent customer services.
12 Excellent communication skills, especially oral.
13Punctuality and respect.
14 Analytical thinking and Problem Solving.",IT Support Intern,Practicante,,D
61,"-Ejecutar la capacitación técnica en LMS Canvas según cronograma del proyecto y según las necesidades de las áreas académicas.
-Definir en coordinación con el Jefe de Desarrollo y Validación la mejor estructura y organización de cursos de tal manera que los contenidos puedan replicarse ciclo a ciclo.
-Participar de las reuniones con las áreas involucradas en la implantación del proyecto de LMS Canvas.
-Realizar las pruebas funcionalidades del LMS Canvas e identificar los posibles problemas para ser corregidos.
-Investigar y probar la integración de servicios externos con el LMS Canvas.
-Coordinar con el programador el desarrollo de informes según las necesidades del área académica.
-Migrar los contenidos (documentos, evaluaciones, tareas) de los cursos de la plataforma Nimbus de UTP, Aula Virtual IDAT al nuevo LMS Canvas.
-Desarrollar manuales y videotutoriales sobre el uso del LMS Canvas.
-Asesorar de manera presencial o virtual a los docentes y al equipo administrativo en uso del LMS Canvas.",Asistente de Plataforma Virtual para el Aprendizaje (LMS) E-Learning,Asistente,"- Egresado o bachiller de la carrera de Ingería de Sistemas o afines. 
- Conocimiento y experiencia administrando Plataformas Educativas Virtuales (LMS), Plataformas E-learning, de al menos un (01) año (Deseable experiencia en Implementación y Configuración de LMS también). 
- Conocimientos de integración utilizando API.
- Experiencia realizando capacitaciones técnicas de manera presencial y/o distancia de por lo menos un (01) año. 
- Experiencia en Análisis de datos. 
- Conocimientos de Excel  a Nivel Intermedio.
- Conocimientos de Inglés a nivel Intermedio o Avanzado (en Lectura sobre todo).",D
62,"Se busca a Asistente de Proyectos para trabajo en empresa industrial del sector plástico, que cumpla con las siguientes funciones y responsabilidades:

1. Analizar y desarrollar especificaciones técnicas sobre productos y servicios ofrecidos.
2. Supervisar avance de proyectos internos de planta
3. Realizar visitas a obra para levantar información
4. Elaborar propuestas técnicas para licitaciones y demás concursos.
5. Otras funciones encargadas por Gerencia",Asistente de Proyectos,Asistente,"Egresado de carreras de ingeniería mecánica o mecatrónica. Con experiencia en prácticas en empresas industriales en áreas de proyectos, oficina técnica o afines. Conocimientos de Excel, Autocad y Project a nivel intermedio y S10 deseable. Disponibilidad a tiempo completo",A
63,"-	Actualización de plan de mantenimiento de equipos de planta
-	Apoyo en la implementación de planes de mantenimiento en SAP PM.
-	Actualización de los equipos críticos de planta",Practicante Universitario de Mantenimiento - Owens Illinois,Practicante,No requiere,A
64,"Empresa de Aplicaciones Móviles con mercado en todo Latinoamerica busca egresados o alumnos de último ciclo de la facultades de Ingenieria de Telecomunicaciones, Informática o Sistemas para practicar en el área de TI.

Las funciones a realizar son:
- Elaborar reportes estadísticos sobre los proyectos en ejecución con base de datos MySQL.
- Análisis y seguimiento de indicadores de los proyectos.
- Elaborar procedimientos, centralizar y actualizar la información estadística de los proyectos.
- Participar en los proyectos de mejora y automatización de procesos.",Practicante de TI - Analista BD,Practicante,,D
65,"- Programar reuniones con ambos clientes para sustentar los avances de ambos proyectos.
- Elaborar y actualizar el cronograma de ejecución de ambos proyectos.
- Coordinar con nuestro proveedor de control de calidad para levantar las observaciones encontradas durante las fabricaciones.
- Enviar y recepcionar la  documentación a nuestros clientes y proveedores (transmitals).
- Supervisión a nuestros diferentes proveedores a cargo del suministro de los componentes para cumplir las fechas de entrega.",ADMINISTRADOR DE PROYECTOS,Consultor / Asesor,,D
66,"1.	Planificar, organizar, dirigir y controlar las operaciones correspondientes a los servicios de transporte, de acuerdo a los servicios contratados con nuestros clientes.
2.	Programar las operaciones diarias con todos los requerimientos propios de cada servicio, en cuanto a personal, equipos, documentación, etc.
3.	Coordinar con los clientes los requerimientos y detalles de cada servicio.
4.	Aprobar los presupuestos de gastos de viaje según el criterio de asignación eficiente de los recursos asignados y la generación de ahorros en el flujo de las operaciones.
5.	Supervisar periódicamente el Control de combustible de acuerdo a los parámetros establecidos para cada ruta, carga y tipo de unidad.
6.	Aprobar los presupuestos de gastos de viaje de acuerdo a los parámetros establecidos por la empresa y controlar la correcta disposición de los gastos operativos.
7.	Supervisar el control de neumáticos para optimizar los costos de operación.
8.	Implementar mecanismos de control para la optimización de recursos.
9.	Coordinar con el área de Ingeniería el planeamiento técnico de los transportes especiales.",Jefe de Operaciones,Profesional especializado,2 a 3 años	 - Puestos de jefaturas.,A
67,"Responsable del sistema de Gestión de mantenimiento de la compañía: preventivo, correctivo de las diferentes instalaciones. 
A cargo de los proyectos de gestión de infraestructura de la compañía: remodelaciones, nuevas construcciones.
A cargo del sistema de Gestión de licencias: vigencia y gestión de nuevas: INDECI, licencias de funcionamiento, DIGESA etc.",Jefe de Infraestructura y Mantenimiento,Profesional especializado,"Experiencia de 4 años como coordinador, jefe o supervisor de infraestructura en entidades del sector retial, consumo masivo, banca, seguros o salud.",D
68,"•	Supervisar la ejecución de las actividades programadas en el área de Equipos Auxiliares e Instalaciones Fijas.
•	Verificar y visar el correcto llenado de los formatos de mantenimiento y seguridad.
•	Liderar las reuniones de seguridad de su equipo, analizando las situaciones que se hayan presentado.
•	Programar las actividades  que se deben  realizar durante el día.
•	Coordinar con los proveedores los requerimientos de herramientas y repuestos necesarios.
•	Definir el detalle técnico de las herramientas o repuestos que requiere el área.",Supervisor de Equipos Auxiliares e Instalaciones Fijas CONCAR L1ML,Profesional especializado,,D
69,Apoyar en la gestión y operación de las acciones conducentes a la implementación del Fondo de Acceso Sostenible a Energía Renovable Térmica (FASERT).,Especialista en energía renovable térmica,Profesional especializado,"Al menos 5 años de experiencia laboral, con al menos 3 años de experiencia en tecnologías de energía renovable térmica – TERT (Cocinas y hornos mejorados a biomasa, calefacción en base a uso existente o eficiente de biomasa, biodigestores, cocinas solares, termas solares, secadores solares, invernaderos y otros). Experiencia en desarrollo de mercados en la base de la pirámide: desarrollo de cadenas de distribución, elaboración de planes de negocios, estrategias de marketing, experiencia en ventas retail en la plataforma rural. Experiencia en la gestión, seguimiento y monitoreo de programas y/o proyectos de desarrollo y de preferencia relacionados con el desarrollo rural y energías renovables.
Habilidad de trabajo en equipo, capacidad de trabajo bajo presión, orientado al logro de resultados según términos y plazos establecidos
Proactivo(a), organizado(a), flexible, Capacidad de innovación y proactividad.
Habilidades comunicacionales y de concertación, así como de coordinación interinstitucional.
Competencia de comunicación escrita y oral en castellano, con buenas habilidades de redacción de informes.
Indicar pretensiones salariales y tres referencias profesionales.",D
70,"Somos la Contraloría, una Institución que busca crear valor y contribuye a mejorar la calidad de vida de los ciudadanos. Nos encontramos en la búsqueda a nivel nacional de profesionales con sólidos valores morales, fuertes competencias y habilidades para que participen en los servicios de control o en la gestión administrativa, contribuyendo a mejorar la gestión pública y el desarrollo del país, por ello te invitamos a unirte a nuestro equipo, participando del Concurso Público de Méritos N° 01–2016-CG.

Se requieren Ingenieros Electrónicos con experiencia de acuerdo al perfil al cual postula. 
Código de plaza: 1472, 1474, 1475, 1477, 1479, 1481, 1483, 1486, 1488, 1490, 1492, 1494, 1496, 1498, 1500, 1502, 1504, 1506, 1508, 1510, 1512, 1514, 1516, 1518, 1520, 1522, 1524, 1526, 1528, 1530, 1532, 1534, 1536, 1538, 1539 y 1548.",Concurso Público de Méritos N° 01–2016-CG/INGENIEROS ELECTRÓNICOS,Profesional especializado,De acuerdo al perfil de la plaza a la cual postula.,D
71,"-          Estudiar y analizar de manera permanente la estructura y funcionamiento de la planta.

-          Elaborar proyectos para viabilizar eficiencia de los procesos de PDI.

-          Mapeo de procesos mediante el uso de organigramas, diagramas y/o flujos.

-          Apoyar en el cumplimiento de BPM, para asegurar la estandarización de las operaciones y obtener productos con la calidad requerida.

-          Apoyar en la proyección de costos, tiempos, materiales para estimar los mantenimientos preventivos, correctivos, etc.

-          Apoyar en la supervisión del programa diario de producción, controlando el cumplimiento y mejora de las productividades.

-          Registro, control y elaboración de indicadores de gestión (KPI), toma de tiempos.

Beneficios:

-          Alimentación cubierta al 100%.

-          Línea de carrera﻿.

*Disponibilidad para laborar en el Callao.",Practicante de PDI,Practicante,,A
72,"1.Apoyo en la gestión administrativa los proyectos de la empresa.
2.Realizar reportes de control de proyectos en Excel y Ms Project.
3.Llenado de plantillas en Excel para su uso en SAP.
4.Ordenar y almacenar reportes en DMS y SAP.
5.Redacción de procedimientos y otros documentos en inglés.
6.Realizar eventualmente planos en Autocad. 
7.Coordinaciones con proveedores.
8.Colaborar en todos los aspectos del proyecto.
9.Coordinación de reuniones y gestión de minutas de reunión.
10. El candidato debe tener: Conocimiento a nivel avanzado de MS Project, Conocimiento a nivel avanzado de Microsoft Excel, Conocimiento a nivel Intermedio de AutoCAD, Conocimiento a nivel usuario de SAP.",Practicante de Operaciones de Ducto y Proyectos,Practicante,,A
73,"Desarrollo de planos en 2D y 3D de ingeniería básica y de detalle.
Desarrollo de modelos en 3D para el departamento de investigación y desarrollo de nuestra sede en USA.
Colaborar en los proyectos de innovación y mejoras del grupo CAD.",Practicante para Ingeniería - Área de CAD,Practicante,"Dominar el diseño 3D en alguno de los siguientes programas: AutoCAD o Inventor.
Habilidad de asimilar gran cantidad de información en poco tiempo.
Habilidad para la programación (puede ser en cualquier lenguaje informático).
Conocimiento de desarrollo de planos de piezas mecánica y estructurales, tolerancias y mecanizados.
Disponibilidad de tiempo para el cumplimiento de las 30 horas de prácticas pre-profesionales exigidas por ley.
Conocimientos de los programas Naviswork y Revit.
Tener un nivel avanzando de inglés: hablado y escrito.",A
74,"Apoyo directo al área de Ingeniería en proyectos a desarrollar.
Trabajar en equipo para el logro de objetivos.
Proponer alternativas de solución a problemas que se presenten en el área de trabajo.",Practicante,Practicante,,A
75,"-Responsable del Diseño de Plantas de Tratamiento de Aguas Residuales.
-Responsable del Diseño de Plantas y Sistemas de Tratamiento de Agua Potable e Industrial.
-Responsable de la elaboración de planos de Ingeniería Básica, Detalle. 
-Responsable de la elaboración de planos As Built. 
-Responsable de la Elaboración de propuestas técnicas – económicas. 
-Responsable del Desarrollo de Cotizaciones y Licitaciones. 
-Responsable del Control de Costos en la implementación de los Proyectos, evaluando proveedores alternativos, diseños más económicos y flexibles. 
-Responsable de la Selección y Compra de equipos electromecánicos y de laboratorio, así como todo recurso que se asigna a un Proyecto antes de entregarlo al Área de Operaciones. 
-Responsable de evaluar e incorporar nuevas tecnologías (innovación) en el desarrollo de proyectos. 
-Responsable de la elaboración de Planos de Estructuras, Civiles, así como la estandarización en la Propuesta de los entregables ofrecidos al cliente (Planos, Memorias de Cálculo, Memorias Descriptivas, etc.) 
-Análisis permanente de la competencia, evaluación de la necesidad de nuevos productos y servicios en el mercado nacional. 
-Realizar otras actividades que en materia de su competencia le sean encomendadas.
-Asegurar el cumplimiento de cada parte del proceso en los proyectos del área.
-Manejo de proyectos de plantas industriales de más de 3 millones de soles.
-Gestión Comercial.",Especialista en Diseño de Ingeniería y Proyectos de Tratamiento de Aguas Industriales,Profesional especializado,"-Titulado de Ingeniería Sanitaria (Preferencia), Químico, Industrial o afines.
-Indispensable conocimientos en Metodología PMI. Deseable certificación.
-Manejo de Office Nivel Intermedio.
-Experiencia mínima de 4 años como Jefe o Coordinador y en proyectos bajo PMI 2 años.
-Disponibilidad para viajar de 3 a 4 veces al mes al interior del país.",D
76,"Control de inventario de activos de tecnología, de vencimiento de contratos, de proveedores, de garantías y calidad de equipos.
Toma de inventarios de activos nuevos.
Cumplimiento de controles de auditoría en gestión de activos.
Soporte en tareas de operaciones e infraestructura física de TI.
Envío de reportes de asignación de costo de los servicios brindados por el área.
Seguimiento de cotizaciones y compras del área.
Administración del almacén del área.",Líder de Desarrollo de Aplicaciones,Ejecutivo,"Experiencia de 4 años en posiciones de gestión de áreas de desarrollo y mantenimiento de aplicaciones IT.
Experiencia en la gestión de proyectos concurrentes bajo la metodología SCRUM para el desarrollo e implementación de aplicaciones a la medida (de preferencia .Net).
Experiencia en la tercerización de desarrollos (selección, contratación, coordinación, monitoreo).
Deseable: Conocimientos de procesos internos e interacción con proyectos de desarrollo e implementación en Administración, Finanzas, Contabilidad, RRHH y el proceso CRM.
Experiencia y conocimientos en el Marco metodológico del PMI y certificación PMP.
Experiencia y Conocimientos en la metodología ITIL - certificación.
Haber tenido contacto con la norma ISO 27001.
Certificaciones en cualquiera de las siguientes tecnologías. NET, VBasic, SharePoint, C#, Java, SQL, Oracle.",D
77,"Coordinar con los Supervisores las solicitudes de servicio de los clientes.
Comunicar el progreso de los servicios en forma puntual y proactiva al cliente.
Controlar y coordinar la asignación de recursos para la ejecución de los servicios solicitados.
Vigilar y Maximizar la eficiencia de la ejecución de los servicios programados en función de la carga de trabajo y los recursos disponibles (eficiencia de uso de los técnicos).
Brindar soporte al staff técnico para la ejecución de los servicios solicitados (manuales, planos, servicio de terceros, etc.).
Brindar soporte en las estimaciones de costos del servicio en conjunto con el Supervisor, Administrador y Jefe de Servicio.
Realizar las tareas administrativas intrínsecas al puesto (controlar los gastos de servicio, repuestos y misceláneos).
Hacer el seguimiento del estado de las OPs (estado de los repuestos, entrega de los mismos etc.) de los clientes tanto internos como externos.
Revisar la documentación relacionada con la OP (liquidaciones, horas utilizadas, etc.) y confirmar el cierre y la facturación de las mismas al administrador de servicios.
Desarrollar diversos formatos como: formatos de evaluación, formatos de recepción y entrega de equipos y componentes, etc.
Elaborar y mantener actualizada la Tabla de Tiempos Estándar.
Otras actividades relacionadas a la Planificación y Control de Calidad de los servicios.",Trainee de Operaciones de Servicio,Asistente,"Experiencia deseable de más de 6 meses de práctica realizando tareas similares en empresas de servicios. 
Deseable con conocimientos técnicos a nivel industrial o mecánico (rubro equipos de minería).
Inglés nivel intermedio comprensión de manuales de servicio. 
Manejo de paquete Office a nivel intermedio deseable conocimientos en programas de planificación tipo MS.Project, AS-400. 
Conocimientos de planeamiento y organización de equipos (carga VS disponibilidad) y manejo de ratios de eficiencia.
Conocimientos de control de costos (deseable).",A
78,"- Encargado de la programación de PLC´s y de la comunicación de los mismos con un software integrador para Automatización de Edficios (BMS) a través de protocolos de comunicación como BACnet, Modbus, OPC, Profi Bus, etc.
- Coordinar con el personal de campo el tema logístico, control de avance de obra, coordinaciones con clientes.  
- Preparación de documentación y entrega de sistemas culminados.",Ingeniero para Automatomatización de Edificios,Operativo,"• Haber trabajado con varios PLC´s en red, comunicándolos con protocolos conocidos tales  como BACnet, Modbus, OPC, Profi Bus, etc.",A
79,"Analizar a detalle las bases técnicas de licitación.
Determinar los precios unitarios en base al análisis de las condiciones de trabajo. 
Proponer la metodología del trabajo y los recursos necesarios para la ejecución del proyecto.
Supervisar las condiciones de trabajo en terreno en ubicaciones remotas (minas, instalaciones industriales, plantas de generación eléctrica, entre otros).",Analista de Estudios,Analista,"Experiencia mínima de 2 años en cargos similares en obras de Montaje (indispensable haber trabajado en campo en puestos de Oficina Técnica, Producción o áreas afines).
Conocimientos en: Autocad, MS Project, Primavera / S10 (indispensable).
Disponibilidad para viajar al interior del país (indispensable).",D
80,"Realizar la venta directa y asesoría  técnica de la línea oleohidráulica, realizando venta de componentes, servicios y proyectos (motores y bombas hidráulica, equipos y componentes hidráulicos, unidades hidráulicas especializadas, válvulas, bloques y cilindros hidráulicos , pruebas y recargas de acumuladores hidráulicos, etc).
Realiza las visitas a clientes en sus locales y/o en puntos de venta, a fin de brindar asesoría técnica especializada, ofreciendo una solución a sus necesidades e intereses con los productos/servicios que brinda la empresa.
Incrementar cartera de clientes e incrementar ventas de los clientes actuales de acuerdo a metas asignadas.
Conocer a la competencia, reconocer sus ventajas competitivas e identificar componentes equivalentes para ventas.
Estrecha vínculos comerciales a través de visitas programadas y servicios de post-venta.
Planifica prospecciones para clientes nuevos.
Reconoce oportunidades de servicios de mantenimiento y reparación, así como venta de proyectos en los clientes, relacionados con la línea oleo hidráulica.
Sugiere el requerimiento de nuevos productos, productos equivalentes o la descontinuación de otros.",Ingeniero de Ventas Especializado en Óleo Hidraulica o Linea Fluidica,Ejecutivo,"2 o más años de experiencia en ventas industriales (B2B) y/o ventas consultivas en empresas industriales  en general (alimentos y bebidas, mineras, cementeras,  plásticos, textiles, farmacéuticas, agroindustrias, etc).
Conocimiento hidráulica y neumática.
Conocimiento de  Ms. Office  intermedio.
Conocimiento de técnica de ventas consultivas o B2B.
De preferencia con cartera de clientes. 
Con orientación a resultados y al cliente, proactivo,  habilidad para la gestión de oportunidades de negocio, perseverante, dinámico, responsable y comprometido con el trabajo.",A
81,"Desarrollar la ingeniería básica y al detalle de los sistemas de Seguridad Electrónica.
Encargado de la presentación de documentos y planos relacionados a la ingeniería de seguridad electrónica.
Registro y actualización constante del formato de documentos de desarrollo de ingeniería.
Registo y reporte de sus actividades diarias, en el formato respectivo.
Reporte constante del avance del proyecto a su cargo.",Ingeniero de Desarrollo de Seguridad Electrónica,Analista,"Requisitos:
Ingeniero Electrónica.
Disponibilidad para viajar.

Experiencia:
En la ingeniería básica y al detalle de sistemas de seguridad electrónica.

Conocimientos:
BMS, CCTV, Seguridad Electrónica y afines.

Las personas que cumplan con el perfil enviar su CV a tmurrugarra(a)westfire.com.pe",A
82,"- Asegurar  el incremento de la productividad de los procesos,  así como el uso eficiente de los recursos de mano de obra, maquinarias, tecnología, materia prima a través de la aplicación de herramientas estadísticas de control de procesos y mejora continua.
- Estandarización de métodos de trabajo, Determinación de tiempos estándar por operación – proceso, Determinación del balance de línea por proceso operativo, Mantenimiento de rutas de proceso y tiempos.
- Brindar soporte a producción en el balance de la línea para mejorar el flujo productivo, eliminando exceso de inventario en proceso.
- Ser facilitador de los Grupos de Mejora KAIZEN: Constituir nuevos grupos Kaizen bajo el lineamiento establecido para el proyecto. Implementar indicadores de control para la medición de la efectividad de los grupos de mejora.
- Fomentar el trabajo en equipo del grupo, aplicando herramientas de mejora continua. Informar a la Jefatura de Procesos y Gerencia Industrial sobre los avances de los grupos de mejora.
- Brindar soporte al SIG (ISO 9000, TS 16949): Participar de las auditorias del SIG en las áreas productivas.",Ingeniero de Procesos,Profesional especializado,,A
